AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
3DRock004,4K-JPG,zip,26437068,https://cc0textures.com/get?file=3DRock004_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock004_a3jdz85i/3DRock004_4K-JPG.zip
3DRock004,8K-JPG,zip,80842628,https://cc0textures.com/get?file=3DRock004_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock004_a3jdz85i/3DRock004_8K-JPG.zip
3DRock004,16K,obj,2374904,https://cc0textures.com/get?file=3DRock004_16K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock004_a3jdz85i/3DRock004_16K.obj
3DRock003,2K-JPG,zip,7422104,https://cc0textures.com/get?file=3DRock003_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock003_6mvbx8et/3DRock003_2K-JPG.zip
3DRock003,4K-JPG,zip,22480837,https://cc0textures.com/get?file=3DRock003_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock003_6mvbx8et/3DRock003_4K-JPG.zip
3DRock003,8K-JPG,zip,69347351,https://cc0textures.com/get?file=3DRock003_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock003_6mvbx8et/3DRock003_8K-JPG.zip
3DRock003,16K,obj,2220641,https://cc0textures.com/get?file=3DRock003_16K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock003_6mvbx8et/3DRock003_16K.obj
3DRock002,2K-JPG,zip,7625962,https://cc0textures.com/get?file=3DRock002_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock002_4pgx07fs/3DRock002_2K-JPG.zip
3DRock002,4K-JPG,zip,23107636,https://cc0textures.com/get?file=3DRock002_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock002_4pgx07fs/3DRock002_4K-JPG.zip
3DRock002,8K-JPG,zip,71998774,https://cc0textures.com/get?file=3DRock002_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock002_4pgx07fs/3DRock002_8K-JPG.zip
3DRock002,9K,obj,1235155,https://cc0textures.com/get?file=3DRock002_9K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock002_4pgx07fs/3DRock002_9K.obj
LeatherSubstance004,,sbsar,422640,https://cc0textures.com/get?file=LeatherSubstance004.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/LeatherSubstance004_047s3l2h/LeatherSubstance004.sbsar
LeatherSubstance003,,sbsar,17250,https://cc0textures.com/get?file=LeatherSubstance003.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/LeatherSubstance003_fztagos3/LeatherSubstance003.sbsar
Leather027,2K-JPG,zip,13970738,https://cc0textures.com/get?file=Leather027_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Leather027_cb92savr/Leather027_2K-JPG.zip
Leather027,4K-JPG,zip,48637907,https://cc0textures.com/get?file=Leather027_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Leather027_cb92savr/Leather027_4K-JPG.zip
Leather027,8K-JPG,zip,165330061,https://cc0textures.com/get?file=Leather027_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Leather027_cb92savr/Leather027_8K-JPG.zip
Leather026,2K-JPG,zip,14906926,https://cc0textures.com/get?file=Leather026_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Leather026_y1pnqsef/Leather026_2K-JPG.zip
Leather026,4K-JPG,zip,52416311,https://cc0textures.com/get?file=Leather026_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Leather026_y1pnqsef/Leather026_4K-JPG.zip
Leather026,8K-JPG,zip,179934257,https://cc0textures.com/get?file=Leather026_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Leather026_y1pnqsef/Leather026_8K-JPG.zip
Leather025,2K-JPG,zip,13792585,https://cc0textures.com/get?file=Leather025_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Leather025_u04ay57q/Leather025_2K-JPG.zip
